unit_id,asof,shape,cells,arm,score,raw_score,marginal_ratio,joint_ratio,tail_ratio
pu-factors_lr-2017-05-22-a1h21,2017-05-22,a1h21,1,v02,0.924642429884097,0.924642429884097,0.7949037863687302,0.0,1.248989038672514
pu-factors_lr-2017-05-22-a1h21,2017-05-22,a1h21,1,v03,0.9127435437070546,0.9127435437070546,0.7782274276752214,0.0,1.2490338337866373
pu-factors_lr-2017-05-22-a1h21_63,2017-05-22,a1h21_63,2,v02,1.243644513906497,1.243644513906497,0.9597283610613306,1.7188080543048965,1.2406895854218145
pu-factors_lr-2017-05-22-a1h21_63,2017-05-22,a1h21_63,2,v03,1.2395911715236723,1.2395911715236723,0.94255482421681,1.7303563753324522,1.2460342340776582
pu-factors_lr-2017-05-22-a1h63,2017-05-22,a1h63,1,v02,1.1699512462028903,1.1699512462028903,1.141556746162773,0.0,1.2409374963031832
pu-factors_lr-2017-05-22-a1h63,2017-05-22,a1h63,1,v03,1.1457464976880352,1.1457464976880352,1.1089030575262664,0.0,1.2378550980924565
pu-factors_lr-2017-05-22-a4h21,2017-05-22,a4h21,4,v02,0.8289561609741924,0.8289561609741924,0.9115701038053727,0.6337624072634959,0.9152119344622863
pu-factors_lr-2017-05-22-a4h21,2017-05-22,a4h21,4,v03,0.8165605194029278,0.8165605194029278,0.9025312024647266,0.6053632321587974,0.9184297426146264
pu-factors_lr-2017-05-22-a4h63_126,2017-05-22,a4h63_126,8,v02,1.1562523088249193,1.1562523088249193,1.0368215006726411,0.9828445234378365,1.7149410072862386
pu-factors_lr-2017-05-22-a4h63_126,2017-05-22,a4h63_126,8,v03,0.9833255567274624,0.9833255567274624,0.9630539559625642,0.8817695813699773,1.1863385216759361
pu-factors_lr-2017-06-21-a1h21,2017-06-21,a1h21,1,v02,0.7936568697802481,0.7936568697802481,0.7925380252571489,0.0,0.7964539810879959
pu-factors_lr-2017-06-21-a1h21,2017-06-21,a1h21,1,v03,0.8471196372913388,0.8471196372913388,0.8594832588186557,0.0,0.8162105834730461
pu-factors_lr-2017-06-21-a1h21_63,2017-06-21,a1h21_63,2,v02,0.6491364792449573,0.6491364792449573,0.7351986584632023,0.41367035708636524,0.787180214437233
pu-factors_lr-2017-06-21-a1h21_63,2017-06-21,a1h21_63,2,v03,0.6553727655601701,0.6553727655601701,0.7471816717794304,0.38607890294119407,0.8297912939404831
pu-factors_lr-2017-06-21-a1h63,2017-06-21,a1h63,1,v02,0.6642048716423323,0.6642048716423323,0.6484332278544797,0.0,0.7036339811119637
pu-factors_lr-2017-06-21-a1h63,2017-06-21,a1h63,1,v03,0.7086007654453612,0.7086007654453612,0.6802537163641537,0.0,0.7794683881483803
pu-factors_lr-2017-06-21-a4h21,2017-06-21,a4h21,4,v02,1.0680083211757765,1.0680083211757765,1.098176370586136,1.0918737078522132,0.9567901176352224
pu-factors_lr-2017-06-21-a4h21,2017-06-21,a4h21,4,v03,1.040072467141187,1.040072467141187,1.0554200215527312,1.0647797038920035,0.9646427259861013
pu-factors_lr-2017-06-21-a4h63_126,2017-06-21,a4h63_126,8,v02,1.0921315919286612,1.0921315919286612,1.0913518263091313,1.169153201690237,0.9785485913351221
pu-factors_lr-2017-06-21-a4h63_126,2017-06-21,a4h63_126,8,v03,1.029060559311917,1.029060559311917,1.0149359312541721,1.0719315427638603,1.0000656542783644
pu-factors_lr-2017-07-21-a1h21,2017-07-21,a1h21,1,v02,1.0112290694175747,1.0112290694175747,1.0693651486222464,0.0,0.8658888714058951
pu-factors_lr-2017-07-21-a1h21,2017-07-21,a1h21,1,v03,0.964699173695395,0.964699173695395,1.0007953367572098,0.0,0.8744587660408583
pu-factors_lr-2017-07-21-a1h21_63,2017-07-21,a1h21_63,2,v02,0.8160588470825921,0.8160588470825921,1.0276234029243243,0.30828616052346974,1.048806487316945
pu-factors_lr-2017-07-21-a1h21_63,2017-07-21,a1h21_63,2,v03,0.71882934469157,0.71882934469157,0.9417372611947517,0.2986727009986734,0.7917945189729608
pu-factors_lr-2017-07-21-a1h63,2017-07-21,a1h63,1,v02,0.9627426243187244,0.9627426243187244,1.0544596873307284,0.0,0.7334499667887144
pu-factors_lr-2017-07-21-a1h63,2017-07-21,a1h63,1,v03,0.8986333919493259,0.8986333919493259,0.954402816463096,0.0,0.7592098306649006
pu-factors_lr-2017-07-21-a4h21,2017-07-21,a4h21,4,v02,1.4909825840100246,1.4909825840100246,1.0683776538316838,2.439309606078598,1.1250043763530162
