unit_id,asof,shape,cells,arm,score,raw_score,marginal_ratio,joint_ratio,tail_ratio
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,baseline,0.8683299591275603,0.8683299591275603,0.9197362313841,0.0,0.7398142784862106
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,w300,0.8415503795003236,0.8415503795003236,0.8842087940908837,0.0,0.7349043430239234
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,w200,0.8913786814289187,0.8913786814289187,0.9444872718320528,0.0,0.7586072054210834
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,w450,0.8683299591275603,0.8683299591275603,0.9197362313841,0.0,0.7398142784862106
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,w300_b21,0.8510156891950742,0.8510156891950742,0.9103886450300523,0.0,0.7025832996076287
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,w300_toff,0.7532551842571327,0.7532551842571327,0.8458714748813077,0.0,0.5217144576966951
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,w300_b21_toff,0.7574390316013841,0.7574390316013841,0.9516135358825817,0.0,0.2720027708983903
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,w300_b42_toff,0.7574390316013841,0.7574390316013841,0.9516135358825817,0.0,0.2720027708983903
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,ewma60,0.9109652176472365,0.9109652176472365,0.946172760082445,0.0,0.8229463615592147
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,ewma90,0.8977525635260355,0.8977525635260355,0.9377018430308266,0.0,0.7978793647640575
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,ewma30_w750,0.929040099679191,0.929040099679191,0.9579657553780965,0.0,0.8567259604319272
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,w300_d500,0.8769650817394241,0.8769650817394241,0.926478185669853,0.0,0.7531823219133518
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,baseline,0.7227952092487998,0.7227952092487998,0.7964369305233511,0.5906513428295089,0.7369067056913581
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,w300,0.724794185199108,0.724794185199108,0.7788919683705278,0.6195466475287142,0.7474210337761491
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,w200,0.7666379447481543,0.7666379447481543,0.8509626789163196,0.6201272176286527,0.7755922000069929
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,w450,0.7227952092487998,0.7227952092487998,0.7964369305233511,0.5906513428295089,0.7369067056913581
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,w300_b21,0.6296109146628982,0.6296109146628982,0.7634644763491661,0.35958616726113696,0.7000141315498705
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,w300_toff,0.5750855198020535,0.5750855198020535,0.6969643918708754,0.40932111979797725,0.5190349396361132
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,w300_b21_toff,0.46815545011372073,0.46815545011372073,0.7536354238706552,0.12962647152351536,0.2622489836066928
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,w300_b42_toff,0.4889656757676095,0.4889656757676095,0.7987113957751738,0.13041967127214565,0.25242038249189463
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,ewma60,0.7854847154233562,0.7854847154233562,0.833926819277147,0.6819296405227385,0.8197120681398059
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,ewma90,0.7662583293658471,0.7662583293658471,0.8220814989740746,0.6542295408485956,0.7947435881211559
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,ewma30_w750,0.8116892211320441,0.8116892211320441,0.8503457187497322,0.7194819335235225,0.8533589085006063
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,w300_d500,0.7035297723702548,0.7035297723702548,0.7420674955310377,0.616239253329333,0.7381212430296802
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,baseline,0.6866826587305043,0.6866826587305043,0.6621009779852934,0.0,0.7481368605935313
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,w300,0.7123772118697441,0.7123772118697441,0.6925893517842255,0.0,0.7618468620835402
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,w200,0.7405373080944387,0.7405373080944387,0.7275420888915896,0.0,0.7730253561015618
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,w450,0.6866826587305043,0.6866826587305043,0.6621009779852934,0.0,0.7481368605935313
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,w300_b21,0.6580146125627487,0.6580146125627487,0.6476302280130494,0.0,0.6839755739369968
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,w300_toff,0.6229186899926263,0.6229186899926263,0.6619389480661507,0.0,0.5253680448088153
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,w300_b21_toff,0.5139330391076532,0.5139330391076532,0.6110914154662916,0.0,0.27103709821105704
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,w300_b42_toff,0.5238206881853098,0.5238206881853098,0.6409229593699812,0.0,0.23106501022363096
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,ewma60,0.739213876139653,0.739213876139653,0.7020177695214918,0.0,0.8322041426850556
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,ewma90,0.7230745031599812,0.7230745031599812,0.6895622431010417,0.0,0.8068551533073297
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,ewma30_w750,0.7611308641918565,0.7611308641918565,0.7190377110507,0.0,0.8663637470447474
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,w300_d500,0.7229919108769908,0.7229919108769908,0.7124087988429905,0.0,0.7494496909619917
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,baseline,0.7158583048442305,0.7158583048442305,0.7966255028484882,0.5895298966770215,0.7034329220843999
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,w300,0.7263401551695945,0.7263401551695945,0.8086796734590093,0.5968121714986421,0.7147833349524864
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,w200,0.739435293106893,0.739435293106893,0.8466689313456505,0.576237381469621,0.7161480649659075
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,w450,0.7158583048442305,0.7158583048442305,0.7966255028484882,0.5895298966770215,0.7034329220843999
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,w300_b21,0.6513896803873115,0.6513896803873115,0.7795614799965198,0.43950998663634494,0.6487797219907403
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,w300_toff,0.617070324493322,0.617070324493322,0.7594221558927939,0.4431438278913292,0.5220804908976314
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,w300_b21_toff,0.5374064216563628,0.5374064216563628,0.7980758266513392,0.25652677463784934,0.3070523796966918
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,w300_b42_toff,0.5374064216563628,0.5374064216563628,0.7980758266513392,0.25652677463784934,0.3070523796966918
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,ewma60,0.7821117285573843,0.7821117285573843,0.8326644256199749,0.6868503734958792,0.7986220184931652
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,ewma90,0.759071089333549,0.759071089333549,0.8194019477050415,0.6534419485670663,0.7666876545545422
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,ewma30_w750,0.836921567980105,0.836921567980105,0.8655444255964994,0.7666009824124392,0.8708453022906173
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,w300_d500,0.7300635194407556,0.7300635194407556,0.8122122160028301,0.6012986243000822,0.7178391207465793
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,baseline,0.6214132567084772,0.6214132567084772,0.6367505972698915,0.5371477177531906,0.7094682137378716
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,w300,0.6270162909011298,0.6270162909011298,0.641289609362002,0.5410754383758857,0.7202442735368152
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,w200,0.6402141061881045,0.6402141061881045,0.6681737886653384,0.5402212092916054,0.7203042453397684
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,w450,0.6214132567084772,0.6214132567084772,0.6367505972698915,0.5371477177531906,0.7094682137378716
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,w300_b21,0.4933423731951302,0.4933423731951302,0.5058846946708699,0.36908501827680706,0.6483726018832655
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,w300_toff,0.49476001407632497,0.49476001407632497,0.5577813696091044,0.3886055414265756,0.4964383342190003
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,w300_b21_toff,0.32772976091497374,0.32772976091497374,0.4388604109441006,0.18664122685425402,0.2615359369332363
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,w300_b42_toff,0.30207101637749134,0.30207101637749134,0.43364137637446865,0.15270130851998384,0.1971996781713091
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,ewma60,0.7035932736140588,0.7035932736140588,0.7055630328803536,0.6329368086194506,0.8046535729402343
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,ewma90,0.6757360594518331,0.6757360594518331,0.6822430542628298,0.6002216173298931,0.7727402356072514
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,ewma30_w750,0.7678487447550388,0.7678487447550388,0.7584211078051952,0.711130588781309,0.8764950710902427
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,w300_d500,0.6370576472885334,0.6370576472885334,0.6610499590944438,0.5557981358344892,0.6989661349548234
