unit_id,asof,shape,cells,arm,score,raw_score,marginal_ratio,joint_ratio,tail_ratio
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,baseline,0.800809734374375,0.800809734374375,0.9057970181451029,0.0,0.5383415249475552
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,v01_original,0.8683299591275603,0.8683299591275603,0.9197362313841,0.0,0.7398142784862106
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,disp90,0.8001993505922816,0.8001993505922816,0.9264761418480744,0.0,0.48450737245279946
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,disp95,0.7998037574635415,0.7998037574635415,0.9151554809688873,0.0,0.5114244487001771
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,disp105,0.8030746794334191,0.8030746794334191,0.8982011107288136,0.0,0.5652586011949329
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,disp110,0.8057810019309606,0.8057810019309606,0.8912231317264204,0.0,0.5921756774423106
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,drift-25,0.8004285758422602,0.8004285758422602,0.9052560833677005,0.0,0.5383598070286593
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,drift25,0.8011824732798792,0.8011824732798792,0.9063333872493703,0.0,0.5383051883561514
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,drift50,0.80147298962407,0.80147298962407,0.906865632738795,0.0,0.5379913818372574
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,disp95_drift25,0.8004858150187077,0.8004858150187077,0.9161241694508533,0.0,0.5113899289383437
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,baseline,0.5715768762689835,0.5715768762689835,0.7593932547515554,0.3011786471696147,0.507633273711607
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,v01_original,0.7227952092487998,0.7227952092487998,0.7964369305233511,0.5906513428295089,0.7369067056913581
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,disp90,0.5514804091934223,0.5514804091934223,0.7663772553535503,0.25639264082852653,0.45686994634044625
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,disp95,0.5611899336881091,0.5611899336881091,0.7623011501466215,0.27863012203197685,0.48225161002602657
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,disp105,0.582651052058591,0.582651052058591,0.7576870345549717,0.3240151576722255,0.5330149373971873
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,disp110,0.5943608727047223,0.5943608727047223,0.7570915186484254,0.34711931054652,0.5583966010827678
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,drift-25,0.5711776999747842,0.5711776999747842,0.7584459439053743,0.30142691093258506,0.507633273711607
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,drift25,0.5719649486835886,0.5719649486835886,0.7603348810557433,0.3009028447113184,0.5076332737116072
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,drift50,0.5724176181184801,0.5724176181184801,0.7612695874813261,0.3008538987849855,0.5076332737116069
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,disp95_drift25,0.5618678407597067,0.5618678407597067,0.7637970773765645,0.2783966002207305,0.4822516100260267
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,baseline,0.589431048323894,0.589431048323894,0.6097073723844313,0.0,0.5387402381725506
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,v01_original,0.6866826587305043,0.6866826587305043,0.6621009779852934,0.0,0.7481368605935313
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,disp90,0.5714568417115953,0.5714568417115953,0.6060930926541153,0.0,0.4848662143552954
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,disp95,0.5801653165646328,0.5801653165646328,0.6075101526849167,0.0,0.5118032262639229
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,disp105,0.5990151546847153,0.5990151546847153,0.6123503165261301,0.0,0.5656772500811782
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,disp110,0.6090480132855903,0.6090480132855903,0.6156215138039042,0.0,0.5926142619898056
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,drift-25,0.5885958176625566,0.5885958176625566,0.6090512141318919,0.0,0.5374573264892186
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,drift25,0.5902639499983513,0.5902639499983513,0.610372631413356,0.0,0.5399922464608395
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,drift50,0.591117914680482,0.591117914680482,0.6110806755286727,0.0,0.5412110125600053
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,disp95_drift25,0.5814578200008438,0.5814578200008438,0.6088438943460622,0.0,0.5129926341377976
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,baseline,0.5941042515105863,0.5941042515105863,0.7717342574272075,0.357455304842466,0.5050026567212142
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,v01_original,0.7158583048442305,0.7158583048442305,0.7966255028484882,0.5895298966770215,0.7034329220843999
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,disp90,0.5842514137701207,0.5842514137701207,0.787377027520858,0.3322080726662439,0.4545023910490928
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,disp95,0.5887830109822184,0.5887830109822184,0.7789453562234263,0.34453276031158175,0.4797525238851535
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,disp105,0.600386205297769,0.600386205297769,0.7660540296986748,0.37102877512325527,0.530252789557275
